Date,company,Category,product_count
2025-08-26,Flipkart,Electronics,395032
2025-08-26,Flipkart,"Tvs&Appliance ",61763
2025-08-26,Flipkart,MenFashion,385895
2025-08-26,Flipkart,WomenFashion,726423
2025-08-26,Flipkart,Baby&Kids,261356
2025-08-26,Flipkart,Home&Furniture,535005
2025-08-26,Flipkart,"Sports&Books& More",300602
2025-08-26,Flipkart,Automatives,0
2025-08-26,Snapdeal,Electronics,223648
2025-08-26,Snapdeal,"Tvs&Appliance ",0
2025-08-26,Snapdeal,MenFashion,571294
2025-08-26,Snapdeal,WomenFashion,150802
2025-08-26,Snapdeal,Baby&Kids,138014
2025-08-26,Snapdeal,Home&Furniture,283489
2025-08-26,Snapdeal,"Sports&Books& More",109463
2025-08-26,Snapdeal,Automatives,70023
