company_name,product_name,category,price,discount_percent,date
Flipkart,Samsung Galaxy S24 FE 5G,Mobile&Accessories,39999.0,33,2025-08-25
Snapdeal,Samsung Galaxy S24 FE 5G,Mobile&Accessories,0.0,0,2025-08-25
Flipkart,Samsung S13 5G,Mobile&Accessories,267.0,73,2025-08-25
Snapdeal,Samsung S13 5G,Mobile&Accessories,194.0,81,2025-08-25
Flipkart,Men Casual Collar Shirt,MenFashion,311.0,79,2025-08-25
Snapdeal,Men Casual Collar Shirt,MenFashion,293.0,71,2025-08-25
Flipkart,Kanjivaram Silk Saree,WomenFashion,670.0,73,2025-08-25
Snapdeal,Kanjivaram Silk Saree,WomenFashion,430.0,86,2025-08-25
Flipkart,Cotton Straight Kurthi,WomenFashion,348.0,76,2025-08-25
Snapdeal,Cotton Straight Kurthi,WomenFashion,297.0,58,2025-08-25
Flipkart,TecSox Tecband Zap Bluetooth,Electronics,300.0,84,2025-08-25
Snapdeal,TecSox Tecband Zap Bluetooth,Electronics,405.0,80,2025-08-25
Flipkart,Sricom hum001 Portable Room Air Purifier,Home&Accessories,339.0,43,2025-08-25
Snapdeal,KCS LITE Aroma diffuser humidifier,Home&Accessories,397.0,69,2025-08-25
Flipkart,Baby boy regular cotton shirt,KidsFashion,203.0,79,2025-08-25
Snapdeal,Baby boy regular cotton shirt,KidsFashion,166.0,67,2025-08-25
Flipkart,Girl casual cotton frock,KidsFashion,249.0,89,2025-08-25
Snapdeal,Girl casual cotton frock,KidsFashion,244.0,73,2025-08-25
Flipkart,LG AI TV UR7500 108cm,Tvs&Appliances,31990.0,36,2025-08-25
Snapdeal,,Tvs&Appliances,0.0,0,2025-08-25
Flipkart,Atomic Habits,"Sports,Books&More",135.0,72,2025-08-25
Snapdeal,Atomic Habits,Books,138.0,77,2025-08-25
Flipkart,Carnest Car Body Cover,Automatives,1099.0,56,2025-08-25
Snapdeal,Carnest Car Body Cover,"Sports,Books&More",505.0,68,2025-08-25
Flipkart,Velox-740 Men Sport wear,"Sports,Books&More",400.0,86,2025-08-25
Snapdeal,Campus HARRINUS Sport shoes,MenFootwear,807.0,53,2025-08-25
Flipkart,Wow Aloevera Body Lotion,Beauty&SkinCare,264.0,41,2025-08-25
Snapdeal,Wow Aloevera Body Lotion,Beauty&SkinCare,131.0,71,2025-08-25
Flipkart,Mixed Nuts,FoodEssentials,526.0,59,2025-08-25
Snapdeal,Mixed Nuts,DailyNeeds,581.0,42,2025-08-25
