userName,content,score,thumbs_up_count,review_version,review_date,reply_content,app_version,company
Rituraj Gogoi,Mind blowing,1,0,8.28,11-08-2025,"Hi flipkart user, we sincerely apologize for the inconvenience. please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",8.28,Flipkart
Sirisha siri Siri,Super gud,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Afifakhan Khan,Not cash on delivery only online payment,1,0,8.29,11-08-2025,No Reply,8.29,Flipkart
Sanjay Yadav,Happy,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Balendra Singh,Open nhi ho rha hai.,1,0,6.17,11-08-2025,"Hi flipkart user, we sincerely apologize for the inconvenience. please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",6.17,Flipkart
Dolly Shakya,Very good,5,0,8.25,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.25,Flipkart
adari lakshminarayana,Good,2,0,8.29,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.29,Flipkart
vennapusa vsreddy,"Worest experience i faced with flipkart, i contacted customer care person sarath, he didn't respond my query, and also he didn't know about how to speak with customer.. i ordered 3 times , but it is cancelled due to logistics issue, then why flipkart maintain that 3rd party delivery agency.. worst service from flipkart. 1 star also waste and escalation team response more worst.",1,0,8.3,11-08-2025,No Reply,8.3,Flipkart
Suresh Sharma,nan,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
SACHU FF Gamer,Good,2,0,8.3,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.3,Flipkart
Somoshree Mukherjee,Very helpful,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
Vikash Yadav,Nice,1,0,8.3,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.3,Flipkart
Vaijnath Kongale,Best,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Ani PK,Great app for shopping,4,0,8.27,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.27,Flipkart
Rupa Sri,User friendly,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Janakben Rathod,Nice app,1,0,8.29,11-08-2025,"Hi flipkart user, thank you for your kind words! would you also like to give us more stars? 5 stars - very good, 4 stars- good, 3 stars - okay, 2 stars - bad, 1 star- very bad",8.29,Flipkart
om prakesh,Thank you so much,5,0,8.3,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.3,Flipkart
Aamir Qureshi,Good for public,4,0,8.28,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.28,Flipkart
_mk_bairwa Bairwa,Wonderful app,5,0,8.29,11-08-2025,"Hi flipkart user, thank you so much for your feedback. we are glad that you are enjoying flipkart and we look forward to serving you again.",8.29,Flipkart
