Year,Flipkart_Visits_Million,Snapdeal_Visits_Million,Flipkart_Bounce_Rate_%,Snapdeal_Bounce_Rate_%,Flipkart_Avg_Session_Min,Snapdeal_Avg_Session_Min,Flipkart_Pages_Per_Visit,Snapdeal_Pages_Per_Visit
2012,10,6,50,55,3,2.5,4.5,3.2
2012,10,6,50,55,3,2.5,4.5,3.2
2013,25,15,48,54,3.4,2.6,4.8,3.4
2014,55,40,47,53,3.6,2.7,5,3.6
2015,95,60,46,52,3.7,2.8,5.2,3.7
2016,120,50,44,55,3.9,2.6,5.4,3.5
2017,135,25,43,57,4,2.3,5.6,3.2
2018,150,15,42,58,4.1,2.1,5.7,3
2019,180,10,41,59,4.3,2,5.9,2.9
2020,250,8,40,60,4.5,1.9,6,2.8
2021,270,7,39,61,4.6,1.8,6.1,2.7
2022,290,6,38,62,4.8,1.7,6.2,2.6
2023,310,5,37,63,4.9,1.6,6.3,2.5
2024,330,4,36,64,5,1.5,6.4,2.4
2025,345,3,35,65,5.1,1.4,6.5,2.3
